Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason
2021,Week 5,FINAL,SUN,10/10,Eagles,2-3,21.0,1.0,Panthers,3-2,18.0,0.0,,,0
2021,Week 5,FINAL,SUN,10/10,Titans,3-2,37.0,1.0,Jaguars,0-5,19.0,0.0,,,0
2021,Week 5,FINAL,SUN,10/10,Browns,3-2,42.0,0.0,Chargers,4-1,47.0,1.0,,,0
2021,Week 5,FINAL,SUN,10/10,Bears,3-2,20.0,1.0,Raiders,3-2,9.0,0.0,,,0
2021,Week 5,FINAL,SUN,10/10,49ers,2-3,10.0,0.0,Cardinals,5-0,17.0,1.0,,,0
2021,Week 5,FINAL,SUN,10/10,Giants,1-4,20.0,0.0,Cowboys,4-1,44.0,1.0,,,0
2021,Week 5,FINAL,SUN,10/10,Bills,4-1,38.0,1.0,Chiefs,2-3,20.0,0.0,,,0
2021,Week 5,FINAL,MON,10/11,Colts,1-4,25.0,0.0,Ravens,4-1,31.0,1.0,,,0
2021,Week 6,FINAL,THU,10/14,Buccaneers,5-1,28.0,1.0,Eagles,2-4,22.0,0.0,,,0
2021,Week 6,FINAL,SUN,10/17,Dolphins,1-5,20.0,0.0,Jaguars,1-5,23.0,1.0,,,0
2021,Week 6,FINAL,SUN,10/17,Chiefs,3-3,31.0,1.0,Football Team,2-4,13.0,0.0,,,0
2021,Week 6,FINAL,SUN,10/17,Rams,5-1,38.0,1.0,Giants,1-5,11.0,0.0,,,0
2021,Week 6,FINAL,SUN,10/17,Texans,1-5,3.0,0.0,Colts,2-4,31.0,1.0,,,0
2021,Week 6,FINAL,SUN,10/17,Bengals,4-2,34.0,1.0,Lions,0-6,11.0,0.0,,,0
2021,Week 6,FINAL,SUN,10/17,Packers,5-1,24.0,1.0,Bears,3-3,14.0,0.0,,,0
2021,Week 6,FINAL,SUN,10/17,Chargers,4-2,6.0,0.0,Ravens,5-1,34.0,1.0,,,0
2021,Week 6,FINAL,SUN,10/17,Vikings,3-3,34.0,1.0,Panthers,3-3,28.0,0.0,,,0
2021,Week 6,FINAL,SUN,10/17,Cardinals,6-0,37.0,1.0,Browns,3-3,14.0,0.0,,,0
2021,Week 6,FINAL,SUN,10/17,Raiders,4-2,34.0,1.0,Broncos,3-3,24.0,0.0,,,0
2021,Week 6,FINAL,SUN,10/17,Cowboys,5-1,35.0,1.0,Patriots,2-4,29.0,0.0,,,0
2021,Week 6,FINAL,SUN,10/17,Seahawks,2-4,20.0,0.0,Steelers,3-3,23.0,1.0,,,0
2021,Week 6,FINAL,MON,10/18,Bills,4-2,31.0,0.0,Titans,4-2,34.0,1.0,,,0
2021,Week 6,BYE,,,Jets,0-0,,,,,,,,,0
2021,Week 6,BYE,,,Falcons,0-0,,,,,,,,,0
2021,Week 6,BYE,,,49ers,0-0,,,,,,,,,0
2021,Week 6,BYE,,,Saints,0-0,,,,,,,,,0
2021,Week 7,FINAL,THU,10/21,Broncos,3-4,14.0,0.0,Browns,4-3,17.0,1.0,,,0
2021,Week 7,FINAL,SUN,10/24,Panthers,3-4,3.0,0.0,Giants,2-5,25.0,1.0,,,0
